====== Scene: 83 ======
Using /homes/sanskar/.cache/torch_extensions/py39_cu116 as PyTorch extensions root...
Loading extension module optixutils_plugin...
Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/nvdiffrast_plugin_gl/lock'
/homes/sanskar/miniconda3/envs/nvdiffrec/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
End of OptiXStateWrapper 
Using /homes/sanskar/.cache/torch_extensions/py39_cu116 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /homes/sanskar/.cache/torch_extensions/py39_cu116/renderutils_plugin/build.ninja...
Building extension module renderutils_plugin...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
Using mesh scale : 2.1, center : [ 0.0737121  -0.00480722 -0.10070956]
Config / Flags:
---------
iter 5000
batch 8
spp 1
layers 1
train_res [600, 800]
display_res [600, 800]
texture_res [1024, 1024]
display_interval 0
save_interval 100
learning_rate [0.03, 0.01]
custom_mip False
background white
loss logl1
out_dir out/scan83
config configs/83.json
ref_mesh /homes/sanskar/mcnvdiffrec/nvdiffrecmc/dtu_data/scan83
base_mesh /homes/sanskar/mcnvdiffrec/nvdiffrecmc/dtu_data/mesh/83.obj
validate True
n_samples 8
bsdf pbr
denoiser bilateral
denoiser_demodulate True
mtl_override None
dmtet_grid 64
mesh_scale 2.1
envlight None
env_scale 1.0
probe_res 256
learn_lighting True
display [{'latlong': True}, {'bsdf': 'kd'}, {'bsdf': 'ks'}, {'bsdf': 'normal'}]
transparency False
lock_light False
lock_pos True
sdf_regularizer 0.2
laplace relative
laplace_scale 3000.0
pre_load True
no_perturbed_nrm False
decorrelated False
kd_min [0.0, 0.0, 0.0, 0.0]
kd_max [1.0, 1.0, 1.0, 1.0]
ks_min [0.0, 0.08, 0.0]
ks_max [1.0, 1.0, 1.0]
nrm_min [-1.0, -1.0, 0.0]
nrm_max [1.0, 1.0, 1.0]
clip_max_norm 0.0
cam_near_far [0.1, 1000.0]
lambda_kd 0.1
lambda_ks 0.05
lambda_nrm 0.025
lambda_nrm2 0.25
lambda_chroma 0.0
lambda_diffuse 0.15
lambda_specular 0.0025
random_textures True
centre [ 0.0737121  -0.00480722 -0.10070956]
---------
DatasetLLFF: 60 images with shape [600, 800]
Auto centering at [ 0.0737121  -0.00480722 -0.10070956]
DatasetLLFF: 4 images with shape [600, 800]
Auto centering at [ 0.0737121  -0.00480722 -0.10070956]
Cuda path /homes/sanskar/miniconda3/envs/nvdiffrec
Base mesh has 250850 triangles and 125828 vertices.
Avg edge length: 1.924560
ninja: no work to do.
Loading extension module renderutils_plugin...
iter=    0, img_loss=0.271676, reg_loss=0.032734, lr=0.00000, time=924.3 ms, rem=1.28 h
iter=  280, img_loss=0.262922, reg_loss=0.032179, lr=0.00000, time=1050.4 ms, rem=1.38 h
iter=  290, img_loss=0.251775, reg_loss=0.031432, lr=0.00000, time=1036.7 ms, rem=1.36 h
iter=  300, img_loss=0.270803, reg_loss=0.033261, lr=0.00000, time=1071.1 ms, rem=1.40 h
iter=  310, img_loss=0.259055, reg_loss=0.032558, lr=0.00000, time=1053.3 ms, rem=1.37 h
iter=  320, img_loss=0.258220, reg_loss=0.032453, lr=0.00000, time=1051.4 ms, rem=1.37 h
iter=  330, img_loss=0.286421, reg_loss=0.034111, lr=0.00000, time=1089.3 ms, rem=1.41 h
iter=  340, img_loss=0.260817, reg_loss=0.032284, lr=0.00000, time=1049.1 ms, rem=1.36 h
iter=  350, img_loss=0.265335, reg_loss=0.033404, lr=0.00000, time=1069.2 ms, rem=1.38 h
iter=  360, img_loss=0.259310, reg_loss=0.031911, lr=0.00000, time=1044.1 ms, rem=1.35 h
iter=  370, img_loss=0.268559, reg_loss=0.033236, lr=0.00000, time=1064.4 ms, rem=1.37 h
iter=  380, img_loss=0.294011, reg_loss=0.035635, lr=0.00000, time=1115.6 ms, rem=1.43 h
iter=  390, img_loss=0.285230, reg_loss=0.035079, lr=0.00000, time=1100.2 ms, rem=1.41 h
iter=  400, img_loss=0.273412, reg_loss=0.033567, lr=0.00000, time=1074.3 ms, rem=1.37 h
iter=  410, img_loss=0.277566, reg_loss=0.034131, lr=0.00000, time=1082.0 ms, rem=1.38 h
iter=  420, img_loss=0.254620, reg_loss=0.032254, lr=0.00000, time=1046.9 ms, rem=1.33 h
iter=  430, img_loss=0.268637, reg_loss=0.033070, lr=0.00000, time=1065.4 ms, rem=1.35 h
iter=  440, img_loss=0.276869, reg_loss=0.033725, lr=0.00000, time=1076.4 ms, rem=1.36 h
iter=  450, img_loss=0.280658, reg_loss=0.034357, lr=0.00000, time=1087.6 ms, rem=1.37 h
iter=  460, img_loss=0.264226, reg_loss=0.032758, lr=0.00000, time=1058.5 ms, rem=1.33 h
iter=  470, img_loss=0.275559, reg_loss=0.033916, lr=0.00000, time=1079.4 ms, rem=1.36 h
iter=  480, img_loss=0.266281, reg_loss=0.033201, lr=0.00000, time=1063.8 ms, rem=1.34 h
iter=  490, img_loss=0.271602, reg_loss=0.033684, lr=0.00000, time=1074.8 ms, rem=1.35 h
iter=  500, img_loss=0.274689, reg_loss=0.033623, lr=0.00000, time=1075.1 ms, rem=1.34 h
iter=  510, img_loss=0.281188, reg_loss=0.034612, lr=0.00000, time=1092.2 ms, rem=1.36 h
iter=  520, img_loss=0.257352, reg_loss=0.032137, lr=0.00000, time=1044.0 ms, rem=1.30 h
iter=  530, img_loss=0.253296, reg_loss=0.032021, lr=0.00000, time=1038.6 ms, rem=1.29 h
iter=  540, img_loss=0.270336, reg_loss=0.033651, lr=0.00000, time=1075.6 ms, rem=1.33 h
iter=  550, img_loss=0.273935, reg_loss=0.033491, lr=0.00000, time=1069.9 ms, rem=1.32 h
iter=  560, img_loss=0.244795, reg_loss=0.030752, lr=0.00000, time=1020.3 ms, rem=1.26 h
iter=  570, img_loss=0.257842, reg_loss=0.032004, lr=0.00000, time=1043.2 ms, rem=1.28 h
iter=  580, img_loss=0.263480, reg_loss=0.031767, lr=0.00000, time=1038.8 ms, rem=1.28 h
iter=  590, img_loss=0.275865, reg_loss=0.033845, lr=0.00000, time=1081.6 ms, rem=1.32 h
iter=  600, img_loss=0.263759, reg_loss=0.033114, lr=0.00000, time=1059.3 ms, rem=1.29 h
iter=  610, img_loss=0.244341, reg_loss=0.030814, lr=0.00000, time=1018.2 ms, rem=1.24 h
iter=  620, img_loss=0.251179, reg_loss=0.031434, lr=0.00000, time=1028.2 ms, rem=1.25 h
iter=  630, img_loss=0.274740, reg_loss=0.033719, lr=0.00000, time=1074.7 ms, rem=1.30 h
iter=  640, img_loss=0.273283, reg_loss=0.033845, lr=0.00000, time=1075.0 ms, rem=1.30 h
iter=  650, img_loss=0.259968, reg_loss=0.031951, lr=0.00000, time=1043.4 ms, rem=1.26 h
iter=  660, img_loss=0.270860, reg_loss=0.033444, lr=0.00000, time=1066.2 ms, rem=1.29 h
iter=  670, img_loss=0.265621, reg_loss=0.032742, lr=0.00000, time=1053.9 ms, rem=1.27 h
iter=  680, img_loss=0.269717, reg_loss=0.033445, lr=0.00000, time=1067.8 ms, rem=1.28 h
iter=  690, img_loss=0.260070, reg_loss=0.031975, lr=0.00000, time=1042.2 ms, rem=1.25 h
iter=  700, img_loss=0.268729, reg_loss=0.032895, lr=0.00000, time=1061.2 ms, rem=1.27 h
iter=  710, img_loss=0.276192, reg_loss=0.034170, lr=0.00000, time=1080.6 ms, rem=1.29 h
iter=  720, img_loss=0.256678, reg_loss=0.032711, lr=0.00000, time=1051.0 ms, rem=1.25 h
iter=  730, img_loss=0.263157, reg_loss=0.032727, lr=0.00000, time=1054.0 ms, rem=1.25 h
iter=  740, img_loss=0.257538, reg_loss=0.032067, lr=0.00000, time=1041.3 ms, rem=1.23 h
iter=  750, img_loss=0.273467, reg_loss=0.033755, lr=0.00000, time=1072.6 ms, rem=1.27 h
iter=  760, img_loss=0.259093, reg_loss=0.032084, lr=0.00000, time=1044.0 ms, rem=1.23 h
iter=  770, img_loss=0.274788, reg_loss=0.033903, lr=0.00000, time=1077.3 ms, rem=1.27 h
iter=  780, img_loss=0.255361, reg_loss=0.031556, lr=0.00000, time=1032.4 ms, rem=1.21 h
iter=  790, img_loss=0.264316, reg_loss=0.033044, lr=0.00000, time=1057.6 ms, rem=1.24 h
iter=  800, img_loss=0.274332, reg_loss=0.034134, lr=0.00000, time=1079.3 ms, rem=1.26 h
iter=  810, img_loss=0.290737, reg_loss=0.035379, lr=0.00000, time=1104.6 ms, rem=1.29 h
iter=  820, img_loss=0.266659, reg_loss=0.033049, lr=0.00000, time=1060.2 ms, rem=1.23 h
iter=  830, img_loss=0.271087, reg_loss=0.033450, lr=0.00000, time=1069.5 ms, rem=1.24 h
iter=  840, img_loss=0.248222, reg_loss=0.031054, lr=0.00000, time=1023.5 ms, rem=1.18 h
iter=  850, img_loss=0.272968, reg_loss=0.033484, lr=0.00000, time=1066.9 ms, rem=1.23 h
iter=  860, img_loss=0.294046, reg_loss=0.035119, lr=0.00000, time=1101.8 ms, rem=1.27 h
iter=  870, img_loss=0.256821, reg_loss=0.032101, lr=0.00000, time=1042.4 ms, rem=1.20 h
iter=  880, img_loss=0.261114, reg_loss=0.032247, lr=0.00000, time=1045.2 ms, rem=1.20 h
iter=  890, img_loss=0.271409, reg_loss=0.033540, lr=0.00000, time=1067.8 ms, rem=1.22 h
iter=  900, img_loss=0.260796, reg_loss=0.032557, lr=0.00000, time=1049.9 ms, rem=1.20 h
iter=  910, img_loss=0.271580, reg_loss=0.034009, lr=0.00000, time=1072.9 ms, rem=1.22 h
iter=  920, img_loss=0.280623, reg_loss=0.034323, lr=0.00000, time=1085.4 ms, rem=1.23 h
iter=  930, img_loss=0.275554, reg_loss=0.033622, lr=0.00000, time=1068.5 ms, rem=1.21 h
iter=  940, img_loss=0.265535, reg_loss=0.032613, lr=0.00000, time=1050.1 ms, rem=1.18 h
iter=  950, img_loss=0.256065, reg_loss=0.032134, lr=0.00000, time=1043.7 ms, rem=1.17 h
iter=  960, img_loss=0.276622, reg_loss=0.034079, lr=0.00000, time=1075.7 ms, rem=1.21 h
iter=  970, img_loss=0.270726, reg_loss=0.032980, lr=0.00000, time=1061.0 ms, rem=1.19 h
iter=  980, img_loss=0.264810, reg_loss=0.032559, lr=0.00000, time=1054.5 ms, rem=1.18 h
iter=  990, img_loss=0.258221, reg_loss=0.031799, lr=0.00000, time=1036.4 ms, rem=1.15 h
iter= 1000, img_loss=0.266673, reg_loss=0.033041, lr=0.00000, time=1056.6 ms, rem=1.17 h
iter= 1010, img_loss=0.267230, reg_loss=0.033207, lr=0.00000, time=1061.0 ms, rem=1.18 h
iter= 1020, img_loss=0.279542, reg_loss=0.033719, lr=0.00000, time=1073.0 ms, rem=1.19 h
iter= 1030, img_loss=0.262367, reg_loss=0.032590, lr=0.00000, time=1048.1 ms, rem=1.16 h
iter= 1040, img_loss=0.255864, reg_loss=0.031779, lr=0.00000, time=1035.9 ms, rem=1.14 h
iter= 1050, img_loss=0.266463, reg_loss=0.032440, lr=0.00000, time=1049.1 ms, rem=1.15 h
iter= 1060, img_loss=0.258031, reg_loss=0.031620, lr=0.00000, time=1032.9 ms, rem=1.13 h
iter= 1070, img_loss=0.266376, reg_loss=0.032882, lr=0.00000, time=1054.6 ms, rem=1.15 h
iter= 1080, img_loss=0.268240, reg_loss=0.032776, lr=0.00000, time=1054.0 ms, rem=1.15 h
iter= 1090, img_loss=0.270640, reg_loss=0.033199, lr=0.00000, time=1062.3 ms, rem=1.15 h
iter= 1100, img_loss=0.243389, reg_loss=0.031215, lr=0.00000, time=1018.2 ms, rem=1.10 h
iter= 1110, img_loss=0.283167, reg_loss=0.033954, lr=0.00000, time=1077.2 ms, rem=1.16 h
iter= 1120, img_loss=0.274440, reg_loss=0.034036, lr=0.00000, time=1072.4 ms, rem=1.16 h
iter= 1130, img_loss=0.261682, reg_loss=0.032333, lr=0.00000, time=1044.9 ms, rem=1.12 h
iter= 1140, img_loss=0.276065, reg_loss=0.033475, lr=0.00000, time=1069.2 ms, rem=1.15 h
iter= 1150, img_loss=0.267866, reg_loss=0.032959, lr=0.00000, time=1055.3 ms, rem=1.13 h
iter= 1160, img_loss=0.263384, reg_loss=0.033260, lr=0.00000, time=1056.6 ms, rem=1.13 h
iter= 1170, img_loss=0.254347, reg_loss=0.031566, lr=0.00000, time=1031.9 ms, rem=1.10 h
iter= 1180, img_loss=0.271567, reg_loss=0.033147, lr=0.00000, time=1063.7 ms, rem=1.13 h
iter= 1190, img_loss=0.268380, reg_loss=0.033105, lr=0.00000, time=1057.9 ms, rem=1.12 h
iter= 1200, img_loss=0.275861, reg_loss=0.033485, lr=0.00000, time=1071.6 ms, rem=1.13 h
iter= 1210, img_loss=0.251908, reg_loss=0.032464, lr=0.00000, time=1040.3 ms, rem=1.10 h
iter= 1220, img_loss=0.259904, reg_loss=0.032404, lr=0.00000, time=1044.9 ms, rem=1.10 h
iter= 1230, img_loss=0.274090, reg_loss=0.033827, lr=0.00000, time=1069.2 ms, rem=1.12 h
iter= 1240, img_loss=0.265895, reg_loss=0.032847, lr=0.00000, time=1054.7 ms, rem=1.10 h
iter= 1250, img_loss=0.268368, reg_loss=0.032704, lr=0.00000, time=1053.0 ms, rem=1.10 h
iter= 1260, img_loss=0.267962, reg_loss=0.032943, lr=0.00000, time=1054.1 ms, rem=1.10 h
iter= 1270, img_loss=0.276272, reg_loss=0.033631, lr=0.00000, time=1073.4 ms, rem=1.11 h
iter= 1280, img_loss=0.262031, reg_loss=0.032822, lr=0.00000, time=1052.1 ms, rem=1.09 h
iter= 1290, img_loss=0.257756, reg_loss=0.032506, lr=0.00000, time=1045.3 ms, rem=1.08 h
iter= 1300, img_loss=0.254479, reg_loss=0.032140, lr=0.00000, time=1034.9 ms, rem=1.06 h
iter= 1310, img_loss=0.263418, reg_loss=0.032752, lr=0.00000, time=1049.7 ms, rem=1.08 h
iter= 1320, img_loss=0.264505, reg_loss=0.033162, lr=0.00000, time=1057.3 ms, rem=1.08 h
iter= 1330, img_loss=0.261548, reg_loss=0.032524, lr=0.00000, time=1042.9 ms, rem=1.06 h
iter= 1340, img_loss=0.280400, reg_loss=0.034789, lr=0.00000, time=1087.1 ms, rem=1.11 h
iter= 1350, img_loss=0.275877, reg_loss=0.033521, lr=0.00000, time=1067.3 ms, rem=1.08 h
iter= 1360, img_loss=0.267970, reg_loss=0.032767, lr=0.00000, time=1054.1 ms, rem=1.07 h
iter= 1370, img_loss=0.278534, reg_loss=0.033998, lr=0.00000, time=1075.1 ms, rem=1.08 h
iter= 1380, img_loss=0.276404, reg_loss=0.033798, lr=0.00000, time=1073.3 ms, rem=1.08 h
iter= 1390, img_loss=0.258555, reg_loss=0.032617, lr=0.00000, time=1048.0 ms, rem=1.05 h
iter= 1400, img_loss=0.274729, reg_loss=0.033286, lr=0.00000, time=1063.1 ms, rem=1.06 h
iter= 1410, img_loss=0.256084, reg_loss=0.031829, lr=0.00000, time=1035.0 ms, rem=1.03 h
iter= 1420, img_loss=0.254610, reg_loss=0.031803, lr=0.00000, time=1036.3 ms, rem=1.03 h
iter= 1430, img_loss=0.271045, reg_loss=0.033592, lr=0.00000, time=1066.3 ms, rem=1.06 h
iter= 1440, img_loss=0.264397, reg_loss=0.032740, lr=0.00000, time=1047.3 ms, rem=1.04 h
iter= 1450, img_loss=0.247845, reg_loss=0.030993, lr=0.00000, time=1014.8 ms, rem=1.00 h
iter= 1460, img_loss=0.260557, reg_loss=0.032222, lr=0.00000, time=1041.1 ms, rem=1.02 h
iter= 1470, img_loss=0.266521, reg_loss=0.032618, lr=0.00000, time=1049.5 ms, rem=1.03 h
iter= 1480, img_loss=0.262549, reg_loss=0.032201, lr=0.00000, time=1044.4 ms, rem=1.02 h
iter= 1490, img_loss=0.268637, reg_loss=0.033099, lr=0.00000, time=1054.9 ms, rem=1.03 h
iter= 1500, img_loss=0.279183, reg_loss=0.034425, lr=0.00000, time=1079.3 ms, rem=1.05 h
iter= 1510, img_loss=0.246842, reg_loss=0.030592, lr=0.00000, time=1010.9 ms, rem=58.80 m
iter= 1520, img_loss=0.275947, reg_loss=0.034111, lr=0.00000, time=1075.5 ms, rem=1.04 h
iter= 1530, img_loss=0.269795, reg_loss=0.033251, lr=0.00000, time=1059.2 ms, rem=1.02 h
iter= 1540, img_loss=0.268870, reg_loss=0.033063, lr=0.00000, time=1055.5 ms, rem=1.01 h
iter= 1550, img_loss=0.274864, reg_loss=0.033650, lr=0.00000, time=1068.1 ms, rem=1.02 h
iter= 1560, img_loss=0.265395, reg_loss=0.032486, lr=0.00000, time=1043.6 ms, rem=59.84 m
iter= 1570, img_loss=0.260071, reg_loss=0.032781, lr=0.00000, time=1047.7 ms, rem=59.89 m
iter= 1580, img_loss=0.266311, reg_loss=0.032337, lr=0.00000, time=1046.1 ms, rem=59.63 m
iter= 1590, img_loss=0.246763, reg_loss=0.030553, lr=0.00000, time=1008.8 ms, rem=57.34 m
iter= 1600, img_loss=0.286360, reg_loss=0.034790, lr=0.00000, time=1091.4 ms, rem=1.03 h
iter= 1610, img_loss=0.285533, reg_loss=0.035040, lr=0.00000, time=1092.3 ms, rem=1.03 h
iter= 1620, img_loss=0.257892, reg_loss=0.032395, lr=0.00000, time=1039.7 ms, rem=58.57 m
iter= 1630, img_loss=0.244365, reg_loss=0.030726, lr=0.00000, time=1012.6 ms, rem=56.88 m
iter= 1640, img_loss=0.253810, reg_loss=0.031677, lr=0.00000, time=1030.0 ms, rem=57.68 m
iter= 1650, img_loss=0.261314, reg_loss=0.032070, lr=0.00000, time=1035.2 ms, rem=57.80 m
iter= 1660, img_loss=0.270052, reg_loss=0.033566, lr=0.00000, time=1066.1 ms, rem=59.34 m
iter= 1670, img_loss=0.278505, reg_loss=0.034352, lr=0.00000, time=1077.4 ms, rem=59.80 m
iter= 1680, img_loss=0.280055, reg_loss=0.033785, lr=0.00000, time=1072.9 ms, rem=59.37 m
iter= 1690, img_loss=0.273025, reg_loss=0.033843, lr=0.00000, time=1071.4 ms, rem=59.11 m
iter= 1700, img_loss=0.264366, reg_loss=0.032629, lr=0.00000, time=1046.7 ms, rem=57.57 m
iter= 1710, img_loss=0.285515, reg_loss=0.034612, lr=0.00000, time=1085.3 ms, rem=59.51 m
iter= 1720, img_loss=0.257069, reg_loss=0.031777, lr=0.00000, time=1032.4 ms, rem=56.44 m
iter= 1730, img_loss=0.284565, reg_loss=0.035158, lr=0.00000, time=1093.8 ms, rem=59.61 m
iter= 1740, img_loss=0.268219, reg_loss=0.033572, lr=0.00000, time=1060.7 ms, rem=57.63 m
iter= 1750, img_loss=0.273518, reg_loss=0.033946, lr=0.00000, time=1072.7 ms, rem=58.10 m
iter= 1760, img_loss=0.251170, reg_loss=0.031587, lr=0.00000, time=1023.6 ms, rem=55.27 m
iter= 1770, img_loss=0.281783, reg_loss=0.034435, lr=0.00000, time=1084.9 ms, rem=58.40 m
iter= 1780, img_loss=0.281844, reg_loss=0.034722, lr=0.00000, time=1085.1 ms, rem=58.24 m
iter= 1790, img_loss=0.284770, reg_loss=0.034519, lr=0.00000, time=1083.9 ms, rem=57.99 m
iter= 1800, img_loss=0.280578, reg_loss=0.033959, lr=0.00000, time=1076.4 ms, rem=57.41 m
iter= 1810, img_loss=0.275251, reg_loss=0.034599, lr=0.00000, time=1082.9 ms, rem=57.58 m
iter= 1820, img_loss=0.248161, reg_loss=0.030892, lr=0.00000, time=1015.5 ms, rem=53.82 m
iter= 1830, img_loss=0.259696, reg_loss=0.032736, lr=0.00000, time=1044.1 ms, rem=55.16 m
iter= 1840, img_loss=0.264638, reg_loss=0.032866, lr=0.00000, time=1050.2 ms, rem=55.31 m
iter= 1850, img_loss=0.273977, reg_loss=0.033661, lr=0.00000, time=1065.7 ms, rem=55.95 m
iter= 1860, img_loss=0.278542, reg_loss=0.034376, lr=0.00000, time=1080.4 ms, rem=56.54 m
iter= 1870, img_loss=0.262659, reg_loss=0.032543, lr=0.00000, time=1046.6 ms, rem=54.60 m
iter= 1880, img_loss=0.281568, reg_loss=0.034413, lr=0.00000, time=1080.6 ms, rem=56.19 m
iter= 1890, img_loss=0.272554, reg_loss=0.033169, lr=0.00000, time=1061.5 ms, rem=55.02 m
iter= 1900, img_loss=0.281755, reg_loss=0.033987, lr=0.00000, time=1072.0 ms, rem=55.39 m
iter= 1910, img_loss=0.256306, reg_loss=0.031724, lr=0.00000, time=1031.7 ms, rem=53.13 m
iter= 1920, img_loss=0.269334, reg_loss=0.032949, lr=0.00000, time=1053.7 ms, rem=54.09 m
iter= 1930, img_loss=0.260374, reg_loss=0.032102, lr=0.00000, time=1038.9 ms, rem=53.16 m
iter= 1940, img_loss=0.263552, reg_loss=0.033114, lr=0.00000, time=1053.2 ms, rem=53.72 m
iter= 1950, img_loss=0.268176, reg_loss=0.033266, lr=0.00000, time=1056.7 ms, rem=53.72 m
iter= 1960, img_loss=0.267850, reg_loss=0.033138, lr=0.00000, time=1055.6 ms, rem=53.49 m
iter= 1970, img_loss=0.275176, reg_loss=0.033298, lr=0.00000, time=1064.9 ms, rem=53.78 m
iter= 1980, img_loss=0.265519, reg_loss=0.033150, lr=0.00000, time=1054.1 ms, rem=53.06 m
iter= 1990, img_loss=0.280027, reg_loss=0.034541, lr=0.00000, time=1081.0 ms, rem=54.23 m
iter= 2000, img_loss=0.290614, reg_loss=0.035307, lr=0.00000, time=1096.5 ms, rem=54.83 m
iter= 2010, img_loss=0.258826, reg_loss=0.032274, lr=0.00000, time=1038.9 ms, rem=51.77 m
iter= 2020, img_loss=0.272473, reg_loss=0.033204, lr=0.00000, time=1057.7 ms, rem=52.53 m
